Code,Name,Treatments
156,Complex Regional Pain Syndrome,"Physical therapy (including exercises, stretching, and mirror therapy), pain management techniques (such as medications, nerve blocks, or spinal cord stimulation), sympathetic nerve blocks, psychological support (such as cognitive-behavioral therapy or counseling), occupational therapy, graded motor imagery, transcutaneous electrical nerve stimulation (TENS), patient education and self-management techniques"
157,Otosclerosis,"Hearing aids, surgical interventions (such as stapedectomy or stapedotomy to replace the affected bone in the middle ear), sodium fluoride therapy (to slow down the progression of the condition), communication strategies and support (such as lip-reading or sign language), regular hearing assessments"
158,Hypothyroidism,"Hormone replacement therapy with synthetic thyroid hormone (levothyroxine), regular monitoring of thyroid hormone levels and adjustment of medication dosage, lifestyle modifications (such as healthy diet and regular exercise), management of associated symptoms (such as cholesterol-lowering medications or antidepressants), education and support for long-term management"
159,Primary Insomnia,"Cognitive-behavioral therapy for insomnia (CBT-I), sleep hygiene practices (such as maintaining a regular sleep schedule, creating a comfortable sleep environment), relaxation techniques, stimulus control techniques (such as limiting bed activities to sleep only), sleep restriction therapy, medications for insomnia (such as sedative-hypnotics, melatonin agonists)"
160,Lice,"Over-the-counter or prescription medications specifically designed to kill lice (such as pediculicides), manual removal of lice and nits using a fine-toothed comb, washing and drying of infested clothing and bedding at high temperatures, vacuuming of upholstery and household surfaces, disinfection of personal items that cannot be washed or dried, avoiding direct head-to-head contact with infested individuals, education and prevention strategies"
161,Vitamin B12 Deficiency,"Vitamin B12 supplementation (such as oral supplements or injections), dietary changes to include B12-rich foods (such as meat, fish, eggs, and dairy products), identification and management of underlying causes (such as pernicious anemia or malabsorption disorders), management of associated symptoms or complications (such as nerve pain or balance problems), regular monitoring of B12 levels and treatment adjustment"
162,Vulvodynia,"Topical medications (such as lidocaine or estrogen creams), nerve blocks, physical therapy (including pelvic floor muscle relaxation exercises), cognitive-behavioral therapy (CBT), biofeedback, medications (such as tricyclic antidepressants or anticonvulsants), vulvar care and hygiene practices, stress management techniques, alternative therapies (such as acupuncture or herbal remedies)"
163,Endometriosis,"Pain management (such as nonsteroidal anti-inflammatory drugs [NSAIDs], hormonal contraceptives, or progestins), hormone therapy (such as gonadotropin-releasing hormone [GnRH] agonists or oral contraceptives), surgical interventions (such as laparoscopic excision or hysterectomy), fertility treatments (if pregnancy is desired), lifestyle modifications (such as regular exercise, stress management), complementary therapies (such as acupuncture or dietary changes)"
164,Vasculitis,"Treatment depends on the type and severity of vasculitis. It may include corticosteroids, immunosuppressive medications (such as cyclophosphamide or azathioprine), biologic therapies (such as rituximab), disease-specific treatments (such as plasmapheresis for certain types), supportive care to manage symptoms (such as pain relievers or blood pressure medications), monitoring and management of associated complications (such as organ damage or infections)"
165,Concussion,"Physical and cognitive rest, gradual return to normal activities, symptom management (such as pain relievers or anti-nausea medication), monitoring for complications (such as changes in neurological function), cognitive rehabilitation (if persistent cognitive problems), management of associated symptoms (such as sleep disturbances or mood changes), education and support for recovery, avoiding further head injuries"
166,Oral Leukoplakia,"Regular monitoring and follow-up, identification and elimination of potential irritants (such as tobacco or alcohol), improving oral hygiene practices, medication (such as topical retinoids or antifungal agents), surgical removal (in some cases), cryotherapy (freezing the patches), laser therapy, lifestyle modifications (such as healthy diet), regular dental check-ups, education and support"
167,Chronic Kidney Disease,"Management of underlying conditions (such as diabetes or high blood pressure), lifestyle modifications (such as healthy diet, regular exercise, smoking cessation), medications (such as ACE inhibitors or diuretics), dialysis (in advanced stages), kidney transplant (in end-stage kidney disease), management of associated complications (such as anemia or bone disease), regular monitoring and follow-up with a nephrologist, education and support for self-care"
168,Bladder Disorder,"Medications, bladder training, lifestyle changes"
169,Chorioretinitis,"Antiviral medications, corticosteroids, eye drops"
170,Priapism,"Medical intervention (aspiration, medication, surgery)"
171,Myositis,"Medications (corticosteroids, immunosuppressants), physical therapy"
172,Mononucleosis,"Rest, pain relievers, fluids, symptom management"
173,Neuralgia,"Medications (pain relievers, anticonvulsants), nerve blocks"
174,Polycystic Kidney Disease,"Symptom management, blood pressure control, dialysis"
175,Bipolar Disorder,"Medications (mood stabilizers, antipsychotics), therapy"
176,Amyloidosis,Treatment depends on the type and extent of organ damage
177,Chronic Inflammatory Demyelinating Polyneuropathy (CIDP),"Immunoglobulin therapy, corticosteroids, physical therapy"
178,Gastroesophageal Reflux Disease (GERD),"Lifestyle changes, medications (antacids, proton pump inhibitors)"
179,Vitreous Hemorrhage,"Observation, laser treatment, vitrectomy (in severe cases)"
180,Antimicrobial Drugs Poisoning,"Immediate medical attention, supportive care, antidote administration"
181,Scleroderma,"Medications (immunosuppressants), therapy, symptom management"
182,Myasthenia Gravis,"Medications (acetylcholinesterase inhibitors, immunosuppressants), thymectomy (in some cases)"
183,Hypoglycemia,"Consuming glucose or sugar-containing foods, adjusting medication or insulin dosage"
184,Idiopathic Absence of Menstruation,"Evaluation to determine underlying cause, hormone therapy"
185,Dislocation of the Ankle,"Reduction (realigning the bones), immobilization, rehab"
186,Carbon Monoxide Poisoning,"Fresh air, oxygen therapy, immediate medical attention"
187,Panic Attack,"Breathing exercises, relaxation techniques, therapy"
188,Plantar Fasciitis,"Rest, stretching exercises, orthotic devices, physiotherapy"
189,Hyperopia,"Eyeglasses, contact lenses, refractive surgery"
190,Sedatives Poisoning,"Immediate medical attention, supportive care, antidote administration"
191,Pemphigus,"Corticosteroids, immunosuppressants, wound care"
192,Peyronie Disease,"Medications, traction therapy, surgery"
193,Hiatal Hernia,"Lifestyle changes, medications (antacids, proton pump inhibitors)"
194,Extrapyramidal Effect of Drugs,"Adjusting medication dosage, switching to alternative medications"
195,Meniere Disease,"Medications (diuretics, anti-vertigo drugs), lifestyle changes"
196,Anal Fissure,"Stool softeners, fiber supplements, topical ointments, surgical procedures (in severe cases)"
197,Chronic Otitis Media,"Antibiotics, ear drops, surgical intervention (in some cases)"
198,Hirschsprung Disease,Surgery to remove the affected part of the colon (pull-through procedure)
199,Polymyalgia Rheumatica,"Low-dose corticosteroids, nonsteroidal anti-inflammatory drugs (NSAIDs)"
200,Lymphedema,"Compression therapy, exercise, lymphatic drainage techniques, surgery (in severe cases)"
201,Bladder Cancer,"Surgery, chemotherapy, radiation therapy"
202,Acute Bronchospasm,"Bronchodilators (inhaled medications), corticosteroids, supplemental oxygen (if needed)"
203,Acute Glaucoma,"Medications (eye drops), laser therapy, surgery (in some cases)"
204,Dislocation of the Patella,"Manual reduction, immobilization, physical therapy"
205,Sciatica,"Pain medications, physical therapy, stretching exercises"
206,Hypercalcemia,"Treating underlying cause, hydration, medications"
207,Stress Incontinence,"Pelvic floor exercises, behavioral techniques, surgery (in severe cases)"
208,Benign Kidney Cyst,"Observation, medication (if needed), surgery (in rare cases)"
209,Hydrocele of the Testicle,"Observation, surgical drainage (in some cases)"
210,Hirsutism,"Medications (anti-androgens, oral contraceptives), hair removal methods, lifestyle changes"
211,Hydronephrosis,"Treating underlying cause, medications, ureteral stent, surgery"
212,Diverticulosis,"High-fiber diet, medications (pain relievers, antibiotics)"
213,Pain after an Operation,"Pain medications, ice packs, rest, wound care"
214,Huntington Disease,"Supportive care, medications (to manage symptoms), therapy"
215,West Nile Virus,"Supportive care, symptom management, prevention of mosquito bites"
216,Lymphoma,"Chemotherapy, radiation therapy, immunotherapy, targeted therapy"
217,Dermatitis due to Sun Exposure,"Topical corticosteroids, moisturizers, avoiding sun exposure"
218,Anemia due to Chronic Kidney Disease,"Erythropoiesis-stimulating agents (ESA), iron supplementation, blood transfusions (in severe cases)"
219,Injury to Internal Organ,"Immediate medical attention, diagnostic tests, surgery (in some cases)"
220,Scleritis,"Steroid eye drops, nonsteroidal anti-inflammatory drugs (NSAIDs), immunosuppressants"
221,Pterygium,"Artificial tears, eye lubricants, surgical removal (in severe cases)"
222,Fungal Infection of the Skin,"Antifungal creams, powders, or oral medications, proper hygiene and skin care"
223,Insulin Overdose,"Immediate treatment of hypoglycemia, medical assistance, adjusting insulin dosage and regimen"
224,Syndrome of Inappropriate Secretion of ADH (SIADH),"Treating underlying cause, fluid restriction, medications to suppress ADH (vasopressin) secretion, addressing electrolyte imbalance"
225,Premenstrual Tension Syndrome,"Lifestyle changes, medications (pain relievers, hormonal contraceptives), therapy"
226,Orbital Cellulitis,"Antibiotics, hospitalization (in severe cases), surgical drainage (in some cases)"
227,Injury to the Leg,"R.I.C.E. (Rest, Ice, Compression, Elevation), pain medications, physical therapy"
228,Hepatic Encephalopathy,"Treating underlying liver disease, medications to manage symptoms, dietary modifications"
229,Bone Cancer,"Surgery, chemotherapy, radiation therapy, targeted therapy"
230,Leishmaniasis,"Antiparasitic medications, treatment of complications, vector control measures (in endemic areas)"
231,Chagas Disease,"Antiparasitic medications, medications to manage symptoms, supportive care"
232,Syringomyelia,"Surgical decompression, draining of syrinx (cyst), physical therapy, pain management techniques"
233,Pulmonary Fibrosis,"Medications (immunosuppressants, antifibrotic drugs), oxygen therapy, lung transplantation"
234,Mitral Valve Disease,"Medications, lifestyle changes, surgical repair or replacement of the valve (in severe cases)"
235,Parkinson Disease,"Medications (levodopa, dopamine agonists), physical therapy, deep brain stimulation"
236,Gout,"Medications (nonsteroidal anti-inflammatory drugs, colchicine), lifestyle changes"
237,Otitis Media,"Antibiotics (if bacterial infection), pain relievers, observation (in some cases)"
238,Myelodysplastic Syndrome,"Supportive care, blood transfusions, medications, bone marrow transplantation (in some cases)"
239,Fracture of the Shoulder,"Immobilization (sling, brace), pain management, physical therapy, surgical intervention (in severe cases)"
240,Acute Kidney Injury,"Treating underlying cause, supportive care, medications to manage complications, dialysis (in severe cases)"
241,Threatened Pregnancy,"Bed rest, medications (progesterone), monitoring, avoiding activities that may stress the pregnancy"
242,Intracranial Abscess,"Antibiotics, surgical drainage or removal of the abscess, supportive care"
243,Gum Disease,"Oral hygiene practices (brushing, flossing), professional dental cleanings, medications, surgical interventions"
244,Open Wound from Surgical Incision,"Wound care (cleaning, dressing changes), antibiotics (if infection is present), surgical interventions"
245,Gastrointestinal Hemorrhage,"Blood transfusions, endoscopy, surgery (in severe cases), medications to stop bleeding"
246,Seborrheic Dermatitis,"Topical antifungal creams or ointments, medicated shampoos, corticosteroid creams"
247,Drug Abuse (Methamphetamine),"Detoxification, counseling, behavioral therapies, support groups, medication-assisted treatment (if applicable)"
248,Torticollis,"Physical therapy exercises, pain relievers, botulinum toxin injections (in severe cases)"
249,Antihypertensives Poisoning,"Immediate medical attention, activated charcoal administration, supportive care, specific antidotes"
250,Tension Headache,"Over-the-counter pain relievers, relaxation techniques, stress management"
251,Alcohol Intoxication,"Supportive care, ensuring hydration, monitoring vital signs, prevention of complications"
252,Scurvy,"Vitamin C supplementation, dietary changes, oral hygiene maintenance"
253,Narcolepsy,"Stimulant medications, antidepressants, lifestyle modifications, scheduled naps"
254,Food Allergy,"Avoidance of allergenic food, antihistamines, epinephrine (in severe cases)"
255,Labyrinthitis,"Medications (antibiotics, antivirals), vestibular rehabilitation therapy"
256,Anxiety,"Therapy (cognitive-behavioral therapy, psychotherapy), medications (antidepressants, anti-anxiety drugs)"
257,Impulse Control Disorder,"Psychotherapy, medication (in some cases), support groups, behavioral interventions"
258,Stenosis of the Tear Duct,"Tear duct probing, dilation, surgical correction"
259,Abscess of Nose,"Antibiotics, warm compresses, surgical drainage (in severe cases)"
260,Omphalitis,"Antibiotics, wound care, surgical intervention (in severe cases)"
261,Leukemia,"Chemotherapy, radiation therapy, stem cell transplant, targeted therapy, supportive care"
262,Bell Palsy,"Corticosteroids, antiviral medications, eye protection, physical therapy"
263,Conjunctivitis due to Allergy,"Allergen avoidance, antihistamine eye drops, cold compresses, lubricating eye drops"
264,Drug Reaction,"Discontinuation of the offending drug, supportive care, antihistamines, corticosteroids (in severe cases)"
265,Adrenal Cancer,"Surgery (adrenalectomy), chemotherapy, radiation therapy, targeted therapy, hormone replacement therapy"
266,Myopia,"Eyeglasses, contact lenses, refractive surgery (LASIK), orthokeratology (for some cases)"
267,Osteoarthritis,"Pain relievers, physical therapy, weight management, assistive devices, surgery (in severe cases)"
268,Thyroid Disease,"Medications (thyroid hormone replacement, antithyroid drugs), radioactive iodine therapy, surgery (in some cases)"
269,Pharyngitis,"Rest, pain relievers, throat lozenges, antibiotics (if bacterial infection), symptomatic relief"
270,Chronic Rheumatic Fever,"Antibiotics (to treat streptococcal infections), anti-inflammatory medications, medications for heart complications"
271,Hypocalcemia,"Calcium and vitamin D supplements, treating underlying causes, intravenous calcium (in severe cases)"
272,Macular Degeneration,"Vision aids, medications (injections into the eye), laser therapy, photodynamic therapy, surgical intervention"
273,Pneumonia,"Antibiotics, antiviral medications (if applicable), rest, fluids, symptomatic relief"
274,Cold Sore,"Antiviral medications (topical or oral), pain relievers, antiviral creams, self-care measures"
275,Premature Ventricular Contractions (PVCs),"Monitoring (in most cases), lifestyle changes, medications (beta-blockers, antiarrhythmics)"
276,Chancroid,"Antibiotics (such as azithromycin or ceftriaxone), pain management, warm compresses, good hygiene"
277,Testicular Cancer,"Surgery (orchiectomy), chemotherapy, radiation therapy, surveillance (for some cases)"
278,Hydrocephalus,"Shunt placement (to divert excess cerebrospinal fluid), endoscopic third ventriculostomy, medication (in some cases)"
279,Breast Cancer,"Surgery (lumpectomy or mastectomy), radiation therapy, chemotherapy, hormone therapy, targeted therapy"
280,Anemia due to Malignancy,"Treating underlying malignancy, blood transfusions, medications (erythropoiesis-stimulating agents, iron supplements)"
281,Esophageal Varices,"Medications (beta-blockers, vasoconstrictors), endoscopic therapies, band ligation, transjugular intrahepatic portosystemic shunt (TIPS), surgical interventions"
282,Endometrial Cancer,"Surgery (hysterectomy), radiation therapy, chemotherapy, hormone therapy"
283,Cystic Fibrosis,"Medications (mucus-thinning drugs, bronchodilators), chest physical therapy, enzyme supplements, lung transplant (in severe cases)"
284,Intertrigo,"Keeping the affected area clean and dry, applying topical antifungal or antibacterial creams, using barrier creams"
285,Parathyroid Adenoma,"Surgical removal of the adenoma (parathyroidectomy), medications to manage calcium levels"
286,Glucocorticoid Deficiency,Hormone replacement therapy with glucocorticoid medications
287,Temporomandibular Joint Disorder,"Self-care measures (rest, applying heat or cold, jaw exercises), pain medications, physical therapy, oral splints"
288,Wilson Disease,"Medications to remove copper from the body (chelators), dietary changes, liver transplant (in severe cases)"
289,Vesicoureteral Reflux,"Antibiotics, bladder training exercises, surgical correction (in some cases)"
290,Vitamin A Deficiency,"Vitamin A supplementation, dietary changes to include foods rich in vitamin A"
291,Gonorrhea,"Antibiotics (dual therapy with ceftriaxone and azithromycin), safe sexual practices, partner notification"
292,Fracture of the Rib,"Pain management, rest, immobilization (splinting or bracing), physical therapy"
293,Ependymoma,"Surgery, radiation therapy, chemotherapy, targeted therapy, rehabilitation"
294,Hepatitis due to a Toxin,"Supportive care, removal or avoidance of the toxic substance, management of symptoms"
295,Vaginal Cyst,"Observation (if asymptomatic), warm compresses, sitz baths, surgical removal (if necessary)"
296,Chronic Knee Pain,"Pain management, physical therapy, lifestyle modifications, knee braces or supports"
297,Pinguecula,"Artificial tears, lubricating eye drops, sunglasses for UV protection, surgical removal (in severe cases)"
298,Hypergammaglobulinemia,"Treatment of underlying cause or associated condition, immunosuppressive therapy (in some cases)"
299,Pituitary Disorder,"Treatment depends on the specific pituitary disorder and may involve medications, surgery, hormone replacement therapy"
300,Kidney Stone,"Pain management, increased fluid intake, medication to facilitate stone passage, minimally invasive procedures or surgery"
301,Autism,"Behavioral therapy, educational interventions, speech and language therapy, medications for associated symptoms"
302,Cat Scratch Disease,"Antibiotics (azithromycin, doxycycline), pain management, supportive care"
303,Chronic Glaucoma,"Eye drops (to reduce intraocular pressure), oral medications, laser therapy, surgery (trabeculectomy, implantable devices), regular eye exams"
304,Retinal Detachment,"Surgical intervention (pneumatic retinopexy, scleral buckle, vitrectomy), laser therapy, cryotherapy, gas or silicone oil injection, positioning, regular eye exams"
305,Aplastic Anemia,"Blood transfusions, bone marrow-stimulating medications, immunosuppressive therapy, stem cell transplant (in severe cases), supportive care"
306,Overflow Incontinence,"Bladder training exercises, double voiding, catheterization, medications (alpha-blockers, anticholinergics), surgery (in severe cases), lifestyle modifications"
307,Rabies,"Immediate medical attention (post-exposure prophylaxis), wound care, administration of rabies vaccine and immunoglobulin, supportive care, monitoring and management of symptoms"
308,Hemolytic Anemia,"Treatment of underlying cause, blood transfusions, medications (immunosuppressants, corticosteroids), splenectomy (in some cases), supportive care, folic acid or iron supplementation"
309,Lateral Epicondylitis (Tennis Elbow),"Rest, ice or cold therapy, compression, elbow brace or strap, pain relievers, physical therapy exercises, corticosteroid injections (in severe cases), ergonomic modifications"
310,Syphilis,"Antibiotics (usually penicillin), treatment of complications, regular follow-up and testing"
311,Diabetic Kidney Disease,"Blood pressure control, blood sugar control, medications to protect the kidneys (such as ACE inhibitors or ARBs), lifestyle modifications (healthy diet, regular exercise, quitting smoking), management of underlying diabetes, treatment of complications (such as dialysis or kidney transplantation in advanced stages)"
312,Nose Disorder,"Treatment depends on the underlying cause (such as allergies, sinusitis, or nasal polyps), and may include medications (such as decongestants, antihistamines, nasal sprays), saline nasal irrigation, steam inhalation, allergy management, antibiotics (if bacterial infection is present), surgical intervention (in some cases)"
313,Drug Withdrawal,"Gradual tapering of the drug under medical supervision, medications to manage withdrawal symptoms (such as benzodiazepines, clonidine, or buprenorphine), behavioral therapy, support groups, counseling, rehabilitation programs"
314,Dental Caries,"Dental fillings, crowns, root canal treatment, tooth extraction (in severe cases), oral hygiene practices (brushing and flossing), regular dental check-ups, fluoride treatments, dietary modifications (reducing sugary and acidic foods and drinks), dental sealants (for prevention), education on proper oral care"
315,Hypercholesterolemia,"Lifestyle modifications (healthy diet, regular exercise, weight management, smoking cessation), medications to lower cholesterol levels (such as statins), regular monitoring of cholesterol levels, management of underlying conditions (such as diabetes or high blood pressure), potential additional treatments (such as bile acid sequestrants or PCSK9 inhibitors)"
316,Fracture of the Patella,"Immobilization (splint, cast, or brace), pain management, physical therapy, exercises to restore mobility and strength, potential surgical intervention (in severe cases or if displacement is present)"
317,Kidney Failure,"Treatment depends on the underlying cause and may include medications to manage blood pressure and symptoms, dietary modifications (restricting salt, protein, and potassium), dialysis (hemodialysis or peritoneal dialysis) or kidney transplantation (in end-stage kidney failure), treatment of complications, management of fluid and electrolyte balance, lifestyle modifications (exercise, quitting smoking, healthy diet)"
318,Fracture of the Neck,"Immobilization (cervical collar, brace), pain management, potential surgical intervention (in severe cases)"
319,Muscle Spasm,"Stretching and relaxation exercises, heat or cold therapy, over-the-counter pain relievers, muscle relaxants, physical therapy, lifestyle modifications"
320,Hemophilia,"Replacement therapy with clotting factor concentrates, medications to control bleeding, physical therapy, joint protection measures, genetic counseling and testing for family members"
321,Hyperosmotic Hyperketotic State,"Insulin therapy to regulate blood sugar levels, intravenous fluids to correct dehydration, electrolyte replacement, correction of underlying causes (e.g., diabetes management)"
322,Peritonsillar Abscess,"Antibiotics to treat infection, drainage of the abscess (needle aspiration or incision and drainage), pain relievers, warm saltwater gargles, rest, fluids, surgical removal of the tonsils (in chronic or recurrent cases)"
323,Gastroparesis,"Dietary modifications (small, frequent meals; low-fiber, low-fat diet), medication to promote gastric emptying, managing underlying cause if possible"
324,Fat Embolism,"Supportive care (oxygen therapy, fluid resuscitation), managing symptoms (pain medication, anticoagulants), treatment of underlying cause if possible"
325,Polycythemia Vera,"Phlebotomy (removal of blood), medication (hydroxyurea, interferon), low-dose aspirin, managing complications (blood thinners, medication for itching)"
326,Thrombocytopenia,"Treatment of underlying cause, platelet transfusion (if severe), medication (corticosteroids, immunosuppressants), avoiding medications that can worsen platelet counts"
327,Head and Neck Cancer,"Treatment depends on the specific type and stage of cancer, and may include surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy"
328,Pseudohypoparathyroidism,"Calcium and vitamin D supplementation, management of complications, hormone replacement therapy (if necessary)"
329,Goiter,"Treatment depends on the underlying cause (medication, radioactive iodine therapy, surgery)"
330,Urge Incontinence,"Behavioral therapies (bladder training, pelvic floor exercises), medications (anticholinergics, beta-3 agonists), medical devices"
331,Edward Syndrome,"Supportive care, addressing associated medical issues, early intervention programs, palliative care"
332,Muscular Dystrophy,"Supportive care, physical therapy, assistive devices, medications for symptom management, gene therapies (in some cases)"
333,Mittelschmerz,"Pain management (over-the-counter pain relievers, heat therapy), hormonal birth control (if severe or recurrent)"
334,Corneal Abrasion,"Eye patching, lubricating eye drops, antibiotic ointments (if infected), avoiding further eye irritation"
335,Anemia of Chronic Disease,"Treating the underlying chronic disease, addressing nutritional deficiencies, blood transfusions (in severe cases)"
336,Dysthymic Disorder,"Psychotherapy (cognitive-behavioral therapy, interpersonal therapy), antidepressant medications"
337,Scarlet Fever,"Antibiotics (such as penicillin or erythromycin), rest, fluids, symptomatic relief"
338,Hypertensive Heart Disease,"Medications (antihypertensives), lifestyle changes (healthy diet, exercise, stress management), treatment of underlying conditions"
339,Drug Abuse (Barbiturates),"Medical detoxification, supportive care, counseling, rehabilitation programs"
340,Polycystic Ovarian Syndrome,"Lifestyle changes (diet, exercise, weight management), hormonal contraceptives, fertility treatments (if needed)"
341,Encephalitis,"Hospitalization, antiviral medications (if caused by a viral infection), supportive care"
342,Cyst of the Eyelid,"Warm compresses, good eyelid hygiene, antibiotic ointments (if infected), surgical removal (if necessary)"
343,Balanitis,"Good hygiene, topical antifungal or antibacterial creams, corticosteroid creams (if severe), treating underlying causes"
344,Foreign Body in the Throat,"Immediate medical attention, removal of the foreign body, evaluation for any complications"
345,Drug Abuse (Cocaine),"Medical detoxification, counseling, behavioral therapies, support groups"
346,Optic Neuritis,"High-dose intravenous corticosteroids, treatment of underlying cause, symptom management, visual rehabilitation"
347,Intestinal Malabsorption,"Dietary modifications (specific to the underlying cause), supplementation of deficient nutrients, medications (to manage symptoms or underlying condition), treatment of underlying cause"
348,Lead Poisoning,"Removal of lead source, chelation therapy (in severe cases), supportive care, medication to manage symptoms, addressing complications (such as anemia)"
349,Viral Warts,"Topical treatments (salicylic acid, cryotherapy), laser therapy, surgical removal, immune therapy (for persistent or recurrent cases)"
350,Hyperhidrosis,"Antiperspirants, medications (anticholinergics, beta blockers), iontophoresis, Botox injections, surgical interventions (sympathectomy, sweat gland removal)"
351,Stroke,"Emergency medical attention, medication (clot-busting drugs, anticoagulants), supportive care, rehabilitation (physical therapy, speech therapy), lifestyle modifications (diet, exercise, smoking cessation), addressing underlying risk factors"
352,Pilonidal Cyst,"Warm compresses, pain management, antibiotics (for infection), incision and drainage, surgical removal or excision, wound care, lifestyle modifications to prevent recurrence"
353,Crushing Injury,"Emergency medical attention, immobilization, pain management, surgery (to repair or reconstruct affected tissues), rehabilitation (physical therapy, occupational therapy)"
354,Normal Pressure Hydrocephalus,"Ventriculoperitoneal shunt placement, medication management for symptoms"
355,Alopecia,"Topical medications (minoxidil), oral medications (finasteride), steroid injections, hair transplant surgery, wigs or hairpieces"
356,Hashimoto Thyroiditis,"Thyroid hormone replacement (levothyroxine), monitoring and management of symptoms"
357,Flat Feet,"Supportive footwear, orthotic inserts, physical therapy exercises, pain management, surgery (in severe cases)"
358,Nonalcoholic Liver Disease (NASH),"Lifestyle changes (weight loss, healthy diet, regular exercise), management of underlying conditions, medication as needed"
359,Hemarthrosis,"RICE method (Rest, Ice, Compression, Elevation), pain management, joint aspiration or drainage (in severe cases)"
360,Pelvic Organ Prolapse,"Pelvic floor exercises, pessary use, hormone therapy, surgical repair (in severe cases)"
361,Fracture of the Arm,"Immobilization (cast or splint), pain management, physical therapy, surgery (in complex fractures)"
362,Coagulation (Bleeding) Disorder,"Blood transfusions, clotting factor replacement therapy, medications to stimulate clotting, lifestyle modifications, surgery (in some cases)"
363,Intracranial Hemorrhage,"Emergency medical attention, surgery (if needed), medications to control bleeding and manage symptoms"
364,Hyperkalemia,"Treatment of underlying cause, medications to reduce potassium levels, dietary modifications, dialysis (in severe cases)"
365,Cornea Infection,"Antibiotic or antifungal eye drops, oral medications, supportive care, possible corneal transplant (in severe cases)"
366,Abscess of the Lung,"Antibiotics, drainage or surgical removal of the abscess, supportive care, management of underlying lung conditions"
367,Dengue Fever,"Supportive care (hydration, pain relievers, rest), monitoring, medical attention for severe cases (fluid replacement, blood transfusion, hospitalization)"
368,Chronic Sinusitis,"Saline nasal irrigation, nasal corticosteroids, antibiotics (in bacterial cases), decongestants, pain relievers, surgery (in severe or chronic cases)"
369,Cholesteatoma,"Surgical removal, antibiotics (for associated infections)"
370,Volvulus,Emergency surgery to untwist the affected organ and restore blood flow
371,Injury to the Finger,"RICE method (Rest, Ice, Compression, Elevation), splinting, pain medication, physical therapy, surgery (in severe cases)"
372,Poisoning due to Analgesics,"Immediate medical attention, activated charcoal administration, supportive care, antidote (if available), treatment for complications"
373,Atrial Fibrillation,"Medications (antiarrhythmics, anticoagulants), electrical cardioversion, catheter ablation, lifestyle changes"
374,Pinworm Infection,"Anthelmintic medication, hygiene measures (handwashing, trimming nails, laundering bedding), treatment for household members"
375,Urethral Valves,"Surgical intervention (valve ablation or resection), catheterization, medications for symptoms and complications"
376,Migraine,"Pain-relieving medications, lifestyle changes, preventive medications"
377,Arthritis,"Medications, physical therapy, surgery (in severe cases)"
378,Sciatica,"Pain relievers, physical therapy, exercise"
379,Complex Regional Pain Syndrome (CRPS),"Physical therapy, medications, nerve blocks"
380,Lupus,"Medications (anti-inflammatory, immunosuppressants), lifestyle modifications"
381,Endometriosis,"Pain medications, hormonal therapies, surgery"
382,Chronic Headache,"Pain-relieving medications, relaxation techniques, stress management"
383,Dry Skin,"Moisturizing creams or lotions, avoiding hot showers or baths, using mild soaps"
384,Eczema,"Emollients (moisturizers), topical corticosteroids or immunomodulators, avoiding triggers"
385,Psoriasis,"Topical treatments (corticosteroids, salicylic acid), systemic medications (retinoids, immunosuppressants), phototherapy"
386,Scabies,"Prescription medications (topical or oral scabicides), washing clothes and bedding in hot water, vacuuming and cleaning home"
387,Urticaria (Hives),"Antihistamines, avoiding triggers, corticosteroids (in severe cases)"
388,Insect Bites,"Topical corticosteroids, oral antihistamines, cold compresses"
389,Contact Dermatitis,"Avoiding the trigger, corticosteroid creams or ointments, antihistamines"
390,Dermatitis due to Sun Exposure,"Moisturizers, cool compresses, topical corticosteroids"
391,Parasitic Infections,"Prescription medications (topical or oral antiparasitic agents), washing clothes and bedding in hot water"
392,Influenza (Flu),"Rest, fluids, over-the-counter medications for symptom relief, antiviral medications (in some cases)"
393,Urinary Tract Infection (UTI),"Antibiotics, increased fluid intake, pain relievers"
394,Bronchitis,"Rest, fluids, over-the-counter cough suppressants, inhalers (if prescribed), treating underlying cause"
395,Gastroenteritis (Stomach Flu),"Rest, fluids (electrolyte solutions), bland diet, avoiding irritating foods, over-the-counter medications for symptom relief"
396,Urinary Stones (Kidney Stones),"Pain management, increased fluid intake, medications to help pass the stones, procedures or surgery"
397,Osteoporosis,"Calcium and vitamin D supplements, regular exercise, medications to slow bone loss"
398,Rheumatoid Arthritis,"Medications (nonsteroidal anti-inflammatory drugs, disease-modifying antirheumatic drugs), physical therapy, exercise"
399,Type 1 Diabetes,"Insulin therapy, Blood sugar monitoring, Healthy eating, Regular exercise"
400,Type 2 Diabetes,"Oral medications, Insulin therapy (in some cases), Blood sugar monitoring, Exercise"
